sku,distribution_center_id,brand,retail_price,name,category,cost,department,id
3A9DE64A6C62C8CD6FF8320BAFB8452F,1,Example Brand 1,38.9900016784668,Example Product 8037,Clothing Sets,25.53845100062638,Women,8037
0919B5C38396C3F0C41F1112D538E42C,1,Example Brand 10,169.0,Example Product 8039,Clothing Sets,107.31499949004501,Women,8039
5982E32D2CD58D7F3E71F90600B59267,1,Example Brand 3,69.98999786376953,Example Product 8051,Clothing Sets,42.06398857115791,Women,8051
750263DBB2FB8547BDD810EE11A08C7A,1,Example Brand 1,199.9499969482422,Example Product 8036,Clothing Sets,121.36964755764456,Women,8036
A2B8A85A29B2D64AD6F47275BF1360C6,1,Example Brand 11,159.0,Example Product 8035,Clothing Sets,104.30399932712317,Women,8035
CC4AF25FA9D2D5C953496579B75F6F6C,2,Example Brand 6,109.98999786376953,Example Product 8034,Clothing Sets,73.69329835565836,Women,8034
FC5B3186F1CF0DAECE964F78259B7BA0,2,Example Brand 9,19.989999771118164,Example Product 8033,Clothing Sets,11.494249779030682,Women,8033
E97986091EE430B881BA8FC9755A64A8,2,Example Brand 10,22.989999771118164,Example Product 8038,Clothing Sets,13.862969779080451,Women,8038
68A64C1E5639454C3185E7EA2DB9FC48,3,Example Brand 16,88.0,Example Product 8046,Clothing Sets,53.76799979805946,Women,8046
B4D22BB574AED5FDD900A274930252F6,3,Example Brand 357,50.0,Example Product 8030,Clothing Sets,32.89999980479479,Women,8030
7D5430CF85F78C4B7AA09813B14BCE0D,3,Example Brand 32,89.98999786376953,Example Product 8056,Clothing Sets,52.10420841983796,Women,8056
083B65C888B720C920DCAEAD304C5989,3,Example Brand 31,99.98999786376953,Example Product 8060,Clothing Sets,60.59393839404122,Women,8060
C0172EA66506F59C8C435EB66176FB67,3,Example Brand 1,69.98999786376953,Example Product 8057,Clothing Sets,41.0841285708201,Women,8057
BECC353586042B6DBCC42C1B794C37B6,4,Example Brand 3,55.9900016784668,Example Product 8029,Clothing Sets,31.970290879978833,Women,8029
E6D80593A7D6BB499229C85E7FA4E7AE,4,Example Brand 2,54.9900016784668,Example Product 8027,Clothing Sets,35.7984909173271,Women,8027
47E51E9D11CF800FF08674DBB68A48AB,5,Example Brand 56,99.98999786376953,Example Product 8054,Clothing Sets,66.99329837502987,Women,8054
6DAC4227F4C3D1F6619898D70F2F2B52,5,Example Brand 11,95.8499984741211,Example Product 8047,Clothing Sets,57.318298841860894,Women,8047
F8E918489F1E0A81FF11312F4D0630C1,6,Example Brand 38,32.970001220703125,Example Product 8028,Clothing Sets,20.804070679866072,Women,8028
6EBB69FFBEBE9FD95D160FFC29E0FE5D,6,Example Brand 1,94.0,Example Product 8042,Clothing Sets,55.27199960500002,Women,8042
